"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2932","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","testLogin"
"","5862","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.ProductTests","Surefire test","tests.ProductTests","testLogin"
"","6006","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.CurrencyTests","Surefire test","tests.CurrencyTests","testLogin"
"","3235","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","testLogin"
"","4886","searchTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","searchTest"
"","6793","searchInSubcategoriesTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","searchInSubcategoriesTest"
"","2590","registrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","registrationTest"
"","8607","sortProductsTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SortingTests","Surefire test","tests.SortingTests","sortProductsTest"
"","6086","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","testLogin"
"","10288","shoppingCartTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.ShoppingCartTests","Surefire test","tests.ShoppingCartTests","shoppingCartTest"
"","20613","normalCheckoutProcessTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.CheckoutTests","Surefire test","tests.CheckoutTests","normalCheckoutProcessTest"
"","6612","searchTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SearchTests","Surefire test","tests.SearchTests","searchTest"
"","2683","registrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","registrationTest"
"","2665","testLogin","Surefire suite","2026-05-01","passed","2026-05-01","tests.LoginTests","Surefire test","tests.LoginTests","testLogin"
"","7757","sortProductsTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.SortingTests","Surefire test","tests.SortingTests","sortProductsTest"
"","3827","registrationTest","Surefire suite","2026-05-01","passed","2026-05-01","tests.RegistrationTests","Surefire test","tests.RegistrationTests","registrationTest"
